id,nama_resep,bahan_resep,bahan_alergen,daerah_resep,umur_resep
25,Makaroni Keju,"makaroni, daging sapi, telur, keju parut, mentega, minyak kelapa, garam, bawang putih, bawang bombai",pasta,Indonesia,6-8 Bulan
26,Siomay Ayam Udang,"daging ayam, udang, tepung tapioka, minyak wijen, kecap asin, saus tiram, wortel, bengkuang, daun bawang, minyak kedelai/minyak jagung, garam, gula, bawang putih, bawang merah",udang,Indonesia,6-8 Bulan
26,Siomay Ayam Udang,"daging ayam, udang, tepung tapioka, minyak wijen, kecap asin, saus tiram, wortel, bengkuang, daun bawang, minyak kedelai/minyak jagung, garam, gula, bawang putih, bawang merah",tepung,Indonesia,6-8 Bulan
26,Siomay Ayam Udang,"daging ayam, udang, tepung tapioka, minyak wijen, kecap asin, saus tiram, wortel, bengkuang, daun bawang, minyak kedelai/minyak jagung, garam, gula, bawang putih, bawang merah",minyak wijen,Indonesia,6-8 Bulan
26,Siomay Ayam Udang,"daging ayam, udang, tepung tapioka, minyak wijen, kecap asin, saus tiram, wortel, bengkuang, daun bawang, minyak kedelai/minyak jagung, garam, gula, bawang putih, bawang merah",kecap,Indonesia,6-8 Bulan
26,Siomay Ayam Udang,"daging ayam, udang, tepung tapioka, minyak wijen, kecap asin, saus tiram, wortel, bengkuang, daun bawang, minyak kedelai/minyak jagung, garam, gula, bawang putih, bawang merah",saus tiram,Indonesia,6-8 Bulan
27,Tim Tuna,"nasi, ikan tuna, wortel parut, daun bawang, jahe, minyak jagung, garam, kecap, bawang putih, bawang merah",ikan,Indonesia,9-11 Bulan
28,Tim Soto Daging,"nasi, daging sapi, telur rebus, serai, daun bawang, daun jeruk, garam, gula, air, minyak jagung, tomat, bawang goreng, bawang merah, bawang putih kemiri, ketumbar, kunyit, jahe",telur,Indonesia,9-11 Bulan
29,Kentang Dori Saus Keju,"ikan dori, kentang, keju parut, tepung roti, susu uht, air, kuning telur, tepung maizena",susu,Indonesia,9-11 Bulan
29,Kentang Dori Saus Keju,"ikan dori, kentang, keju parut, tepung roti, susu uht, air, kuning telur, tepung maizena",tepung,Indonesia,9-11 Bulan
29,Kentang Dori Saus Keju,"ikan dori, kentang, keju parut, tepung roti, susu uht, air, kuning telur, tepung maizena",keju,Indonesia,9-11 Bulan
29,Kentang Dori Saus Keju,"ikan dori, kentang, keju parut, tepung roti, susu uht, air, kuning telur, tepung maizena",ikan,Indonesia,9-11 Bulan
29,Kentang Dori Saus Keju,"ikan dori, kentang, keju parut, tepung roti, susu uht, air, kuning telur, tepung maizena",telur,Indonesia,9-11 Bulan
30,Tim Kuning Semur Hati Ayam,"beras, air, wortel parut, tempe, kunyit bubuk, daun salam, bawang merah, daun bawang, seledri",kecap,Indonesia,9-11 Bulan
30,Tim Kuning Semur Hati Ayam,"beras, air, wortel parut, tempe, kunyit bubuk, daun salam, bawang merah, daun bawang, seledri",tempe,Indonesia,9-11 Bulan
31,Tim Semur Sapi Tempe,"nasi, daging sapi, tempe, minyak jagung, tomat, jeruk nipis, kecap manis, garam, bawang merah, bawang putih",kecap,Indonesia,9-11 Bulan
31,Tim Semur Sapi Tempe,"nasi, daging sapi, tempe, minyak jagung, tomat, jeruk nipis, kecap manis, garam, bawang merah, bawang putih",tempe,Indonesia,9-11 Bulan
32,Nasi Tim Ayam Lodeh,"beras, daging ayam, santan, kaldu ayam, daun salam, kacang panjang, minyak jagung, minyak kedelai, gula, garam, bawang putih",minyak kedelai,Indonesia,9-11 Bulan
33,Tim Udang Brokoli,"beras, kaldu ayam, garam, gula pasir, udang, brokoli, minyak jagung, minyak kelapa, bawang putih, bawang merah",udang,Indonesia,9-11 Bulan
34,Tim Sambal Hati Sapi,"nasi, hati sapi, santan, kentang, tomat, daun salam, daun jeruk, sereh, lengkuas, jahe, minyak kedelai, gula, garam, bawang merah, bawang putih, kemiri",minyak kedelai,Indonesia,9-11 Bulan
35,Tim Daging Sapi,"beras, daging sapi, kaldu ayam, wortel, minyak sayur, minyak wijen, kecap manis, merica bubuk, garam, bawang putih",minyak wijen,Indonesia,9-11 Bulan
35,Tim Daging Sapi,"beras, daging sapi, kaldu ayam, wortel, minyak sayur, minyak wijen, kecap manis, merica bubuk, garam, bawang putih",kecap,Indonesia,9-11 Bulan
36,Tim Ayam Kecap,"beras, kaldu ayam, wortel, kecap manis, minyak jagung, merica dan garam, bawang putih, bawang merah",kecap,Indonesia,9-11 Bulan
37,Tim Cah Ikan Kembung,"beras, daging ikan kembung, brokoli, kecap manis, saus tiram. Kaldu ayam, minyak jagung, minyak wijen, garam, jeruk nipis, bawang merah, bawang putih, jahe",ikan,Indonesia,9-11 Bulan
37,Tim Cah Ikan Kembung,"beras, daging ikan kembung, brokoli, kecap manis, saus tiram. Kaldu ayam, minyak jagung, minyak wijen, garam, jeruk nipis, bawang merah, bawang putih, jahe",minyak wijen,Indonesia,9-11 Bulan
37,Tim Cah Ikan Kembung,"beras, daging ikan kembung, brokoli, kecap manis, saus tiram. Kaldu ayam, minyak jagung, minyak wijen, garam, jeruk nipis, bawang merah, bawang putih, jahe",saus tiram,Indonesia,9-11 Bulan
38,Nasi Tim Ayam Jamur,"nasi, daging ayam, jamur merang, wortel parut, minyak wijen, kecap manis, kecap asin kaldu ayam, minyak kelapa sawit, awabng merah, bawang putih, bawang bombai, jahe",minyak wijen,Indonesia,9-11 Bulan
38,Nasi Tim Ayam Jamur,"nasi, daging ayam, jamur merang, wortel parut, minyak wijen, kecap manis, kecap asin kaldu ayam, minyak kelapa sawit, awabng merah, bawang putih, bawang bombai, jahe",kecap,Indonesia,9-11 Bulan
39,Tim Tongkol,"ikan tongkol, beras, garam, daun jeruk, santan, minyak jagung, keruk nipis, garam bawang merah, bawang putih, kunyit, kemiri",ikan,Indonesia,9-11 Bulan
40,Tim Kentang Daging,"kentang, brokoli, daging sapi, garam, minyak jagung, bawang putih, bawang merah",,Indonesia,9-11 Bulan
41,Bola Nasi,"nasi, daging ayam, tahu, telur, tepung maizena, wortel, tepung roti, minyak kedelai, bawang putih, bawang merah, daun bawang",tahu,Indonesia,9-11 Bulan
41,Bola Nasi,"nasi, daging ayam, tahu, telur, tepung maizena, wortel, tepung roti, minyak kedelai, bawang putih, bawang merah, daun bawang",minyak kedelai,Indonesia,9-11 Bulan
41,Bola Nasi,"nasi, daging ayam, tahu, telur, tepung maizena, wortel, tepung roti, minyak kedelai, bawang putih, bawang merah, daun bawang",telur,Indonesia,9-11 Bulan
42,Nasi Tim Gurame,"nasi, ikan gurame, wortel parut, tomat, minyak kanola, garam, daun seledri, bawang putih, bawang merah",ikan,Indonesia,9-11 Bulan
43,Tim Semur Ayam,"nasi, daging ayam, tahu putih, wortel, kecap manis, kaldu ayam, minyak jagung, bawang merah, bawang putih",tahu,Indonesia,9-11 Bulan
43,Tim Semur Ayam,"nasi, daging ayam, tahu putih, wortel, kecap manis, kaldu ayam, minyak jagung, bawang merah, bawang putih",kecap,Indonesia,9-11 Bulan
44,Tim Kentang Telur,"kentang, daging ayam, wortel,telur, margarin",telur,Indonesia,9-11 Bulan
45,Tim Mie Ayam,"mie telur, daging ayam, kaldu ayam, kecap asin, kecap manis, sawi, minyak canola, bawang merah, bawang putih",kecap,Indonesia,9-11 Bulan
46,Tim Makaroni,"makaroni, daging ayam, brokoli, bawang bombai, susu sapi, minyak canola, keju parut, garam, bawang merah, bawang putih",pasta,Indonesia,9-11 Bulan
46,Tim Makaroni,"makaroni, daging ayam, brokoli, bawang bombai, susu sapi, minyak canola, keju parut, garam, bawang merah, bawang putih",susu,Indonesia,9-11 Bulan
47,Puding Susu Cokelat Vla,"agar-agar, susu, gula, dark cooking chocolate, tepung maizena, air, gula pasir, susu, vanila",susu,Indonesia,9-11 Bulan
47,Puding Susu Cokelat Vla,"agar-agar, susu, gula, dark cooking chocolate, tepung maizena, air, gula pasir, susu, vanila",tepung,Indonesia,9-11 Bulan
48,Bola-Bola Tenggiri,"ikan tenggoro, telur ayam, roti, daun bawang, tepung oat, keju, garam, minyak jagung",ikan,Indonesia,9-11 Bulan
48,Bola-Bola Tenggiri,"ikan tenggoro, telur ayam, roti, daun bawang, tepung oat, keju, garam, minyak jagung",roti,Indonesia,9-11 Bulan
48,Bola-Bola Tenggiri,"ikan tenggoro, telur ayam, roti, daun bawang, tepung oat, keju, garam, minyak jagung",keju,Indonesia,9-11 Bulan
48,Bola-Bola Tenggiri,"ikan tenggoro, telur ayam, roti, daun bawang, tepung oat, keju, garam, minyak jagung",tepung,Indonesia,9-11 Bulan
49,Bitterballen,"daging sapi, tepung terigu, susu, wortel, telur, margarin, merica, garam, keju, tepung panir, bawang putih",tepung,Indonesia,9-11 Bulan
49,Bitterballen,"daging sapi, tepung terigu, susu, wortel, telur, margarin, merica, garam, keju, tepung panir, bawang putih",susu,Indonesia,9-11 Bulan
49,Bitterballen,"daging sapi, tepung terigu, susu, wortel, telur, margarin, merica, garam, keju, tepung panir, bawang putih",tepung,Indonesia,9-11 Bulan
50,Lemper Ayam,"nasi, santan, daging ayam, daun jeruk, daun salam, serai, minyak jagung, garam, gula, daun pisang, bawang putih, bawang merah, kemiri, ketumbar",,Indonesia,9-11 Bulan
51,Bola Kentang Keju,"kentang, tepung terigu, telur, gula, keju, tepung roti, minyak jagung",keju,Indonesia,9-11 Bulan
51,Bola Kentang Keju,"kentang, tepung terigu, telur, gula, keju, tepung roti, minyak jagung",tepung,Indonesia,9-11 Bulan
52,Agar-agar Buah,"agar-agar, air, pepaya, melon, semangka",,Indonesia,9-11 Bulan
53,Bubur Singkong Isi Ikan dan Ayam dengan Saus Jeruk,"singkong putih, ikan kembung, ayam cincang, air kaldu ayam, bayam segar, daun salam, batang sereh, bawang merah, bawang putih, jeruk",ikan,Indonesia,6-8 Bulan
54,Bubur Soto Ayam Santan,"nasi putih, ayam cincang, tahu, labu siam, wortel, salam, sereh, daun jeruk, minyak goreng, santan, air kaldu ayam, bawang merah, bawang putih, kunyit, jahe, jeruk",tahu,Indonesia,6-8 Bulan
