nama_alergen
susu sapi
yogurt
krim
mentega
whey
kasein
keju
telur
mayonnaise
meringue
ikan
minyak ikan
gelatin ikan
gluten
roti
pasta
tepung
mie
udang
ebi
petis
terasi
kerupuk udang
koya
kerang
saus tiram
kacang
minyak wijen
minyak kedelai
mustard
tahu
tofu
tempe
kerupuk kedelai
bumbu kacang
kecap 
